subject_id,model,label,diagnostic_mode,valid,train_rows,test_rows,n_states,n_components,eps_train,eps_test,ll_train,ll_test,bic_train,bic_test,aic_train,aic_test,transitions_per_state,transitions_per_observed_state,eps_eeg_baseline,eps_rng_baseline,baseline_max,lift_over_eeg,lift_over_rng,lift_over_baseline
SC4001,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,chronological_within_subject,True,1987,663,9,2,0.0,0.0,-3096.7999117777917,-1264.5191922792928,6747.952906211757,3003.1927701419872,6339.5998235555835,2675.0383845585857,294.3333333333333,294.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,chronological_within_subject,True,1987,663,6,2,0.01,0.0,-2672.551916414616,-867.9779951129708,5580.51404601199,1937.3092224599889,5407.103832829232,1797.9559902259416,441.5,441.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,chronological_within_subject,True,1987,663,8,2,0.0,0.0,-3657.535590609231,-1342.8625064347236,7747.922218360954,3055.9551495578567,7429.071181218462,2799.7250128694473,331.125,331.125,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,chronological_within_subject,True,1987,663,18,3,0.01,0.0,-4368.034376723778,-1786.4443860740373,11067.389251741328,5566.935297820736,9350.068753447556,4186.888772148075,147.16666666666666,147.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,chronological_within_subject,True,1987,663,9,2,0.0,0.0,-3527.955644208538,-1272.9501487830744,7610.26437107325,3020.0546831495503,7201.911288417076,2691.9002975661488,294.3333333333333,294.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,chronological_within_subject,True,1987,663,9,2,0.01,0.0,-2931.76069169447,-1086.6492016601915,6417.874466045114,2647.4527889037845,6009.52138338894,2319.298403320383,294.3333333333333,294.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M4_latent_joint,Latent joint model: latent_state x rng_bit,chronological_within_subject,True,1987,663,6,2,0.0,0.0,-2808.9605026174327,-948.2459428620848,5853.331218417624,2097.845117958217,5679.921005234865,1958.4918857241696,441.5,441.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,chronological_within_subject,True,1987,663,27,3,0.01,0.0,-3949.3849387239097,-1352.3906165462454,13237.266002205219,7270.952918916208,9304.76987744782,4110.781233092491,98.11111111111111,120.4090909090909,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,chronological_within_subject,True,2121,708,9,2,0.0,0.0,-3030.5302034181964,-1209.5331338292137,6620.179916676015,2898.021506268877,6207.060406836393,2565.0662676584275,314.22222222222223,314.22222222222223,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,chronological_within_subject,True,2121,708,6,2,0.01,0.15,-2830.9712578124686,-906.867570725637,5899.376828022585,2017.1270920940678,5723.942515624937,1875.735141451274,471.3333333333333,471.3333333333333,0.0,0.15,0.15,0.15,0.0,0.0
SC4002,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,chronological_within_subject,True,2121,708,8,2,0.0,0.0,-3675.2046214800234,-1455.8575091663597,7786.982010917012,3285.693766288824,7464.409242960047,3025.7150183327194,353.5,353.5,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,chronological_within_subject,True,2121,708,18,3,0.01,0.0,-4386.535032106828,-1740.6886309770796,11124.435674087137,5495.613676384407,9387.070064213656,4095.377261954159,157.11111111111111,157.11111111111111,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,chronological_within_subject,True,2121,708,9,2,0.0,0.0,-3580.0650520014165,-1284.5641129725639,7719.249613842455,3048.0834645555774,7306.130104002833,2715.1282259451277,314.22222222222223,314.22222222222223,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,chronological_within_subject,True,2121,708,9,2,0.01,0.0,-2876.0151596081123,-984.3767756324078,6311.149829055847,2447.708789875265,5898.030319216225,2114.7535512648155,314.22222222222223,314.22222222222223,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,M4_latent_joint,Latent joint model: latent_state x rng_bit,chronological_within_subject,True,2121,708,6,2,0.0,0.0,-2869.1607682626122,-1025.200754754609,5975.755848922872,2253.793460152012,5800.3215365252245,2112.401509509218,471.3333333333333,471.3333333333333,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4002,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,chronological_within_subject,True,2121,708,27,3,0.01,0.0,-4080.2108612757715,-1442.303378793797,13544.819194020782,7497.011315712885,9566.421722551542,4290.606757587594,104.74074074074075,128.54545454545453,0.0,0.15,0.15,0.0,-0.15,-0.15
SC4011,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,chronological_within_subject,True,2101,701,9,2,0.0,0.0,-2766.1463576381693,-1095.2134087518366,6090.720276807279,2668.6556819618418,5678.292715276339,2336.426817503673,311.22222222222223,311.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,chronological_within_subject,True,2101,701,6,2,0.01,0.0,-2807.7333325636114,-903.670671499538,5852.607136462279,2010.4248333854216,5677.466665127223,1869.341342999076,466.8333333333333,466.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,chronological_within_subject,True,2101,701,8,2,0.0,0.0,-3582.1030006244096,-1231.4448923808689,7600.238480800375,2836.301363859212,7278.206001248819,2576.8897847617377,350.125,350.125,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,chronological_within_subject,True,2101,701,18,3,0.01,0.0,-4120.339264412954,-1663.0553099336687,10589.134164305344,5337.2922827256625,8854.678528825909,3940.1106198673374,155.61111111111111,155.61111111111111,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,chronological_within_subject,True,2101,701,9,2,0.0,0.0,-3486.0892666231493,-1146.7013663742546,7530.606094777239,2771.6315972066777,7118.178533246299,2439.402732748509,311.22222222222223,311.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,chronological_within_subject,True,2101,701,9,2,0.01,0.0,-2881.44557294841,-1089.2677978631777,6321.31870742776,2656.764460184524,5908.89114589682,2324.5355957263555,311.22222222222223,311.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M4_latent_joint,Latent joint model: latent_state x rng_bit,chronological_within_subject,True,2101,701,6,2,0.0,0.0,-2865.433884880341,-969.1751753667091,5968.008241095738,2141.4338411197637,5792.867769760682,2000.3503507334183,466.8333333333333,466.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4011,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,chronological_within_subject,True,2101,701,27,3,0.01,0.0,-4109.615768386634,-1351.2183792744315,13596.965451242464,7307.846234084376,9625.231536773268,4108.4367585488635,103.74074074074075,127.31818181818181,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,chronological_within_subject,True,2136,712,9,2,0.0,0.0,-2861.971232566914,-1253.666546038473,6283.576665707206,2986.7001794525822,5869.942465133828,2653.333092076946,316.3333333333333,316.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,chronological_within_subject,True,2136,712,6,2,0.01,0.0,-2813.0990813259377,-912.7650862261099,5863.85104234742,2029.0970177761203,5688.1981626518755,1887.5301724522199,474.5,474.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,chronological_within_subject,True,2136,712,8,2,0.0,0.0,-3679.232652132701,-1085.8809954215735,7795.439954028177,2546.062319341932,7472.465304265402,2285.761990843147,355.875,355.875,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,chronological_within_subject,True,2136,712,18,3,0.01,0.0,-4235.5800485450145,-1927.8293305882519,10824.690228268486,5871.627097126098,9085.160097090029,4469.658661176503,158.16666666666666,158.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,chronological_within_subject,True,2136,712,9,2,0.0,0.0,-3560.8449584390646,-1012.3026152496134,7681.324117451508,2503.972317874863,7267.689916878129,2170.6052304992268,316.3333333333333,316.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4012,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,chronological_within_subject,True,2136,712,9,2,0.01,0.0,-2933.678334018431,-1155.9561633173616,6426.990868610241,2791.2794140103597,6013.356668036862,2457.9123266347233,316.3333333333333,316.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0
