regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12207.739367864082,-169.39303880270563,24726.29119707272,25714.6758136281,-988.3846165553769,24220.692658122756,24703.478735728164,-482.78607760541126,10,0,0.0,ok,circular_rng_shift,0,424242,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5744.4212293148685,-5747.273097727091,-2.851868412222757,11506.88686248946,11656.945830191677,-150.05896770221625,11492.842458629735,11530.546195454182,-37.70373682444552,10,2,0.2,ok,circular_rng_shift,0,424242,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3572.94718781502,-111.22544567362912,7492.369305616232,8283.74601829694,-791.3767126807088,7067.443484282781,7433.89437563004,-366.4508913472582,10,0,0.0,ok,circular_rng_shift,0,424242,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.4987732206207,-1876.1821423167305,-5.683369096109573,3756.799560545226,3894.582411569324,-137.7828510240979,3744.9975464412414,3788.364284633461,-43.366738192219145,10,0,0.0,ok,circular_rng_shift,0,424242,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2922.0514850834124,-130.93084119202558,6123.031685927788,6925.683766456855,-802.6520805290666,5726.241287782774,6132.102970166825,-405.8616823840512,10,0,0.0,ok,circular_rng_shift,0,424242,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1266.257753518974,-1272.7113034217443,-6.453549902770192,2547.536368150704,2680.610356858293,-133.0739887075888,2536.5155070379483,2581.4226068434887,-44.90709980554038,10,5,0.5,ok,circular_rng_shift,0,424242,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12234.26247549803,-195.91614643665343,24726.29119707272,25767.722028895994,-1041.4308318232725,24220.692658122756,24756.52495099606,-535.8322928733069,10,0,0.0,ok,circular_rng_shift,1,425251,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-5746.917027695377,-5745.984676706268,0.9323509891091816,11511.878459250476,11654.368988150029,-142.49052889955237,11497.834055390756,11527.969353412536,-30.13529802178164,10,1,0.1,ok,circular_rng_shift,1,425251,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3581.964358285048,-120.24261614365696,7492.369305616232,8301.780359236996,-809.4110536207645,7067.443484282781,7451.928716570095,-384.4852322873139,10,0,0.0,ok,circular_rng_shift,1,425251,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1874.5301467370496,-1873.8866945552936,0.6434521817561745,3764.862307578084,3889.99151604645,-125.1292084683664,3753.0602934741,3783.7733891105872,-30.71309563648765,10,1,0.1,ok,circular_rng_shift,1,425251,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2891.12880843154,-100.00816454015283,6123.031685927788,6863.838413153109,-740.8067272253211,5726.241287782774,6070.257616863079,-344.0163290803057,10,0,0.0,ok,circular_rng_shift,1,425251,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1267.1166496250828,-1272.3315923834375,-5.214942758354709,2549.254160362921,2679.850934781679,-130.59677441875738,2538.2332992501656,2580.663184766875,-42.42988551670942,10,2,0.2,ok,circular_rng_shift,1,425251,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12159.205711856725,-120.8593827953464,24726.29119707272,25617.60850161338,-891.3173045406584,24220.692658122756,24606.411423713445,-385.7187655906928,10,0,0.0,ok,circular_rng_shift,2,426260,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5744.734656013491,-5742.560966136771,2.1736898767203456,11507.513715886704,11647.521567011034,-140.00785112433005,11493.469312026982,11521.12193227354,-27.65262024655931,10,2,0.2,ok,circular_rng_shift,2,426260,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3596.830098077904,-135.1083559365129,7492.369305616232,8331.511838822707,-839.1425332064755,7067.443484282781,7481.660196155807,-414.2167118730258,10,0,0.0,ok,circular_rng_shift,2,426260,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1860.5052272988448,-1863.1568094414283,-2.651582142583493,3736.8124687016734,3868.53174581872,-131.71927711704575,3725.0104545976897,3762.3136188828566,-37.303164285166986,10,3,0.3,ok,circular_rng_shift,2,426260,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2883.79901978154,-92.67837589015288,6123.031685927788,6849.178835853109,-726.1471499253212,5726.241287782774,6055.59803956308,-329.3567517803058,10,0,0.0,ok,circular_rng_shift,2,426260,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1263.8911206836708,-1265.44708346209,-1.5559627784191434,2542.8031024800976,2666.0819169389843,-123.2788144588867,2531.7822413673416,2566.89416692418,-35.11192555683829,10,2,0.2,ok,circular_rng_shift,2,426260,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12076.700134951632,-38.3538058902559,24726.29119707272,25452.5973478032,-726.3061507304774,24220.692658122756,24441.400269903264,-220.7076117805118,10,0,0.0,ok,circular_rng_shift,3,427269,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5744.4009215643255,-5742.498474872311,1.902446692014564,11506.846246988373,11647.396584482114,-140.5503374937416,11492.801843128653,11520.996949744622,-28.19510661597087,10,1,0.1,ok,circular_rng_shift,3,427269,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3645.1139375543016,-183.39219541291092,7492.369305616232,8428.079517775504,-935.7102121592724,7067.443484282781,7578.227875108603,-510.7843908258219,10,3,0.3,ok,circular_rng_shift,3,427269,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.4023660303048,-1873.1755239572717,-2.7731579269666327,3756.6067461645935,3888.5691748504064,-131.96242868581203,3744.8047320606097,3782.351047914543,-37.54631585393327,10,2,0.2,ok,circular_rng_shift,3,427269,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2902.613049375896,-111.49240548450916,6123.031685927788,6886.806895041822,-763.7752091140337,5726.241287782774,6093.226098751792,-366.9848109690183,10,2,0.2,ok,circular_rng_shift,3,427269,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1265.5791445651546,-1269.200961228401,-3.621816663246364,2546.179150243065,2673.589672471606,-127.41052222854069,2535.158289130309,2574.401922456802,-39.24363332649273,10,3,0.3,ok,circular_rng_shift,3,427269,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12168.686768068625,-130.34043900724646,24726.29119707272,25636.57061403718,-910.2794169644584,24220.692658122756,24625.37353613725,-404.6808780144929,10,0,0.0,ok,circular_rng_shift,4,428278,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5745.229643690643,-5741.311916861062,3.9177268295807153,11508.503691241009,11645.023468459616,-136.5197772186093,11494.459287381284,11518.623833722124,-24.16454634083857,10,2,0.2,ok,circular_rng_shift,4,428278,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3582.999943833261,-121.27820169187044,7492.369305616232,8303.851530333422,-811.4822247171905,7067.443484282781,7453.999887666522,-386.55640338374087,10,2,0.2,ok,circular_rng_shift,4,428278,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1869.988753005236,-1874.0154076411384,-4.02665463590256,3755.779520114457,3890.2489422181407,-134.46942210368388,3743.977506010472,3784.030815282277,-40.05330927180512,10,0,0.0,ok,circular_rng_shift,4,428278,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2919.062271008811,-127.9416271174241,6123.031685927788,6919.705338307652,-796.6736523798636,5726.241287782774,6126.124542017622,-399.8832542348482,10,2,0.2,ok,circular_rng_shift,4,428278,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1267.316638930768,-1270.2082150029494,-2.8915760721813517,2549.654138974292,2675.604180020703,-125.95004104641112,2538.633277861536,2576.4164300058987,-37.7831521443627,10,4,0.4,ok,circular_rng_shift,4,428278,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12120.291464592048,-81.9451355306719,24726.29119707272,25539.78000708403,-813.4888100113094,24220.692658122756,24528.582929184096,-307.8902710613438,10,0,0.0,ok,circular_rng_shift,5,429287,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5744.811680198237,-5742.926257399525,1.8854227987121703,11507.667764256195,11648.252149536542,-140.5843852803464,11493.623360396474,11521.85251479905,-28.22915440257566,10,0,0.0,ok,circular_rng_shift,5,429287,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3556.803484885861,-95.08174274447084,7492.369305616232,8251.458612438624,-759.0893068223922,7067.443484282781,7401.606969771723,-334.16348548894166,10,1,0.1,ok,circular_rng_shift,5,429287,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.451451825576,-1874.1559310016023,-3.704479176026325,3756.7049177551366,3890.529988939068,-133.8250711839314,3744.902903651152,3784.3118620032046,-39.40895835205265,10,2,0.2,ok,circular_rng_shift,5,429287,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2918.777040218629,-127.65639632724196,6123.031685927788,6919.134876727288,-796.1031907994993,5726.241287782774,6125.554080437258,-399.3127926544839,10,0,0.0,ok,circular_rng_shift,5,429287,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1266.900980940531,-1270.9228182634988,-4.021837322967485,2548.8228229938186,2677.033386541801,-128.21056354798293,2537.8019618810627,2577.8456365269976,-40.04367464593497,10,3,0.3,ok,circular_rng_shift,5,429287,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12126.359410500065,-88.01308143868846,24726.29119707272,25551.915898900064,-825.6247018273425,24220.692658122756,24540.71882100013,-320.0261628773769,10,0,0.0,ok,circular_rng_shift,6,430296,True
