regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
deep_sleep,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-256.28283355987213,-283.3650652638835,-27.08223170401135,524.3872604078254,649.4812835443344,-125.094023136509,516.5656671197443,594.730130527767,-78.1644634080227,8,1,0.125,ok
deep_sleep,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-259.54239852443465,-290.76275788065004,-31.2203593562154,530.9333086436984,664.4650969251036,-133.53178828140517,523.0847970488693,609.5255157613001,-86.4407187124308,8,0,0.0,ok
deep_sleep,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-265.057033812436,-268.8995826041322,-3.842548791696231,542.0049088420851,621.0350537287565,-79.03014488667134,534.114067624872,565.7991652082644,-31.685097583392466,8,0,0.0,ok
full,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5740.343596122611,-5736.741078939896,3.6025171827159284,11498.72990558984,11635.866577981347,-137.1366723915071,11484.687192245225,11509.482157879793,-24.794965634568143,10,1,0.1,ok
full,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5740.343596122611,-5738.794159820994,1.5494363016177886,11498.72990558984,11639.972739743544,-141.24283415370337,11484.687192245225,11513.588319641987,-28.901127396764423,10,0,0.0,ok
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5744.958485936534,-5744.115832135921,0.8426538006133342,11507.96137573279,11650.631299009334,-142.66992327654407,11493.916971873068,11524.231664271842,-30.31469239877333,10,2,0.2,ok
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5744.958485936534,-5745.239266057896,-0.2807801213621133,11507.96137573279,11652.878166853285,-144.91679112049496,11493.916971873068,11526.478532115792,-32.56156024272423,10,1,0.1,ok
full,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5740.077308873157,-5741.345224029865,-1.2679151567081135,11498.19733109093,11645.074868161286,-146.87753707035515,11484.154617746311,11518.69044805973,-34.53583031341623,10,1,0.1,ok
full,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5735.648539646951,-5737.174063813686,-1.5255241667355222,11489.338342487395,11636.71949636884,-147.38115388144251,11475.2970792939,11510.348127627372,-35.051048333471044,10,0,0.0,ok
full,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5732.411795463287,-5737.7718417825145,-5.360046319227877,11482.863886768177,11637.906346139458,-155.04245937128144,11468.823590926571,11511.543683565027,-42.72009263845575,10,1,0.1,ok
