regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
deep_sleep,3,lag_p3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.8,0.8,-623.4694760770394,-680.1891833759888,-56.7197072989494,1580.6107349637466,1977.3318662465708,-396.7211312828242,1358.9389521540788,1568.3783667519776,-209.4394145978988,8,4,0.5,ok
deep_sleep,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-259.84705085893165,-260.3029344631479,-0.4558836042162397,531.5426133126924,597.6211942926847,-66.07858097999224,523.6941017178633,546.6058689262958,-22.91176720843248,8,0,0.0,ok
deep_sleep,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-256.6022958143701,-289.9817515804241,-33.37945576605398,525.0261849168213,662.7146561774156,-137.68847126059427,517.2045916287402,607.9635031608482,-90.75891153210796,8,0,0.0,ok
rem_only,-5,lag_m5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.8,0.8,-638.5274216515344,-678.7843434349821,-40.25692178344775,1542.903121335022,1851.2869175007345,-308.3837961657125,1361.0548433030688,1513.5686868699645,-152.5138435668955,10,0,0.0,ok
rem_only,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.8,0.8,-646.0198202479899,-683.6940995274769,-37.674279279487,1559.06901568932,1863.2998958425856,-304.2308801532656,1376.0396404959797,1523.3881990549537,-147.348558558974,10,0,0.0,ok
rem_only,1,lag_p1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.8,0.8,-554.8082643342397,-613.9373453795776,-59.1290810453379,1376.500070381968,1723.5155539413486,-347.0154835593805,1193.6165286684793,1383.874690759155,-190.2581620906758,10,0,0.0,ok
rem_only,1,lag_p1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.8,0.8,-552.6546234530845,-589.1505727897484,-36.4959493366639,1461.3484138306226,1801.0294095776371,-339.6809957470145,1217.309246906169,1374.3011455794967,-156.9918986733278,10,1,0.1,ok
rem_only,3,lag_p3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.8,0.8,-552.6546234530845,-596.59749414457,-43.942870691485496,1461.3484138306226,1858.9327151805535,-397.5843013499312,1217.309246906169,1403.19498828914,-185.885741382971,10,1,0.1,ok
stable_sleep,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-1264.8369547313305,-1267.4463711147932,-2.609416383462758,2544.6914838039297,2670.0509113010035,-125.35942749707374,2533.673909462661,2570.8927422295865,-37.21883276692552,10,3,0.3,ok
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.8,0.8,-1267.0309236091891,-1274.2703481417852,-7.239424532596104,2549.082708331134,2683.7284462983744,-134.64573796724017,2538.0618472183783,2584.5406962835705,-46.47884906519221,10,4,0.4,ok
stable_sleep,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.8,0.8,-1264.933078488485,-1267.4488278250772,-2.51574933659208,2544.883731318239,2670.0558247215718,-125.17209340333238,2533.86615697697,2570.8976556501543,-37.03149867318416,10,5,0.5,ok
stable_sleep,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.8,0.8,-1260.8276515709117,-1266.989804699522,-6.162153128610271,2536.6662876912983,2669.078470344318,-132.4121826530195,2525.6553031418234,2569.979609399044,-44.32430625722054,10,5,0.5,ok
stable_sleep,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-1260.8276515709117,-1269.8657493766011,-9.038097805689633,2536.6662876912983,2674.8303596984765,-138.16407200717822,2525.6553031418234,2575.7314987532027,-50.07619561137926,10,2,0.2,ok
