regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
deep_sleep,-5,lag_m5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-688.845493702497,-715.9240445398832,-27.07855083738616,1625.9444464546962,1928.3550071791703,-302.4105607244744,1461.690987404994,1599.8480890797664,-138.15710167477232,8,0,0.0,ok
deep_sleep,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-256.28283355987213,-262.00684410666656,-5.724010546794432,524.3872604078254,594.9432479418194,-70.55598753399408,516.5656671197443,548.0136882133331,-31.448021093588864,8,1,0.125,ok
deep_sleep,-3,lag_m3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-736.7582634024004,-794.629702785765,-57.87143938336453,1722.6708246776172,2087.5680013171627,-364.8971766395455,1557.5165268048008,1757.25940557153,-199.74287876672904,8,0,0.0,ok
deep_sleep,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-259.54239852443465,-267.3261858465209,-7.783787322086255,530.9333086436984,605.7434412620162,-74.81013261831777,523.0847970488693,558.6523716930418,-35.56757464417251,8,0,0.0,ok
deep_sleep,-1,lag_m1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-742.9348049565132,-826.1809149256035,-83.2461099690903,1735.6870794586134,2151.996768942381,-416.30968948376767,1569.8696099130264,1820.361829851207,-250.4922199381806,8,0,0.0,ok
deep_sleep,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-265.057033812436,-272.2880114653097,-7.230977652873719,542.0049088420851,615.9210702338983,-73.91616139181315,534.114067624872,568.5760229306194,-34.46195530574744,8,1,0.125,ok
deep_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-773.4198708901488,-795.5146436186849,-22.0947727285361,1797.0935788875483,2091.536961451872,-294.443382564323,1630.8397417802976,1759.0292872373698,-128.1895454570722,8,1,0.125,ok
deep_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-266.1008506088136,-267.41060162179105,-1.309751012977472,544.0977711959885,606.1976231137498,-62.09985191776138,536.2017012176271,558.8212032435821,-22.619502025954944,8,1,0.125,ok
deep_sleep,1,lag_p1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-688.3662584904026,-735.712298206156,-47.34603971575336,1626.5499865263923,1971.059535503486,-344.5095489770938,1460.7325169808053,1639.424596412312,-178.69207943150673,8,0,0.0,ok
deep_sleep,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-265.46422968209566,-269.0001655747038,-3.5359358926081086,542.8193005814045,609.3453784526864,-66.52607787128193,534.9284593641913,562.0003311494075,-27.071871785216217,8,2,0.25,ok
deep_sleep,3,lag_p3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-622.4256915427175,-685.6408949981701,-63.21520345545264,1494.005680958251,1869.590385741973,-375.5847047837217,1328.851383085435,1539.2817899963402,-210.43040691090528,8,0,0.0,ok
deep_sleep,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-259.84705085893165,-260.73741070622805,-0.890359847296395,531.5426133126924,592.5658909814305,-61.02327766873805,523.6941017178633,545.4748214124561,-21.78071969459279,8,0,0.0,ok
deep_sleep,5,lag_p5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.0,-0.8,-618.7157877171626,-630.6541037171725,-11.938316000009875,1485.6850344840273,1757.815125533749,-272.13009104972207,1321.4315754343252,1429.308207434345,-107.87663200001975,8,1,0.125,ok
deep_sleep,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-256.6022958143701,-259.4349244562656,-2.8326286418954965,525.0261849168213,589.7994086410175,-64.77322372419621,517.2045916287402,542.8698489125312,-25.665257283790996,8,0,0.0,ok
full,-5,lag_m5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12016.061146527578,-12195.616825200534,-179.55567867295576,24681.57294335288,25690.134950996508,-1008.5620076436315,24176.12229305516,24679.233650401067,-503.11135734591153,10,0,0.0,ok
full,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-5733.4971221286005,-5736.005570567449,-2.5084484388480632,11485.034540098804,11634.373803709326,-149.3392636105218,11470.9942442572,11508.011141134895,-37.01689687769613,10,1,0.1,ok
full,-3,lag_m3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12020.91162221892,-12161.017986228786,-140.1063640098655,24691.30871940371,25621.006922389315,-929.6982029856044,24185.82324443784,24610.03597245757,-424.212728019731,10,0,0.0,ok
full,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-5736.278245030895,-5735.89909305819,0.3791519727046761,11490.597753255286,11634.169554857848,-143.57180160256212,11476.55649006179,11507.79818611638,-31.241696054590648,10,3,0.3,ok
full,-1,lag_m1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12032.984988848308,-12186.59905841536,-153.61406956705105,24715.50765810284,25672.273477643168,-956.7658195403274,24209.96997769661,24661.19811683072,-451.2281391341021,10,1,0.1,ok
full,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5740.343596122611,-5736.741078939896,3.6025171827159284,11498.72990558984,11635.866577981347,-137.1366723915071,11484.687192245225,11509.482157879793,-24.794965634568143,10,1,0.1,ok
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12098.720924070363,-60.37459500898876,24726.29119707272,25496.638926040665,-770.3477289679431,24220.692658122756,24485.44184814073,-264.7491900179775,10,0,0.0,ok
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5744.958485936534,-5744.115832135921,0.8426538006133342,11507.96137573279,11650.631299009334,-142.66992327654407,11493.916971873068,11524.231664271842,-30.31469239877333,10,2,0.2,ok
full,1,lag_p1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12095.119506384006,-56.77317732262964,24726.29119707272,25489.436090667947,-763.1448935952249,24220.692658122756,24478.23901276801,-257.54635464525927,10,0,0.0,ok
full,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-5740.077308873157,-5741.345224029865,-1.2679151567081135,11498.19733109093,11645.074868161286,-146.87753707035515,11484.154617746311,11518.69044805973,-34.53583031341623,10,1,0.1,ok
full,3,lag_p3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12028.993846126954,-12141.536648782958,-112.54280265600391,24707.51667438165,25582.13126182141,-874.6145874397589,24201.987692253908,24571.07329756592,-369.08560531200783,10,0,0.0,ok
full,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5735.648539646951,-5743.252633645653,-7.60409399870241,11489.338342487395,11648.876636032774,-159.5382935453763,11475.2970792939,11522.505267291306,-47.20818799740482,10,0,0.0,ok
full,5,lag_p5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12015.17268893784,-12079.914992851353,-64.74230391351375,24679.830852841547,25458.80093563445,-778.9700827929009,24174.34537787568,24447.829985702705,-273.4846078270275,10,0,0.0,ok
full,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5732.411795463287,-5734.338283767383,-1.926488304095983,11482.863886768177,11631.039230109194,-148.17534334101765,11468.823590926571,11504.676567534763,-35.852976608191966,10,2,0.2,ok
no_wake,-5,lag_m5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3446.492533162328,-3570.2502292928702,-123.75769613054216,7461.510070144972,8277.550466226372,-816.0403960814001,7036.985066324656,7428.5004585857405,-391.51539226108434,10,0,0.0,ok
no_wake,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-1859.8398528280068,-1865.6404405822404,-5.800587754233675,3735.4705776698993,3873.3987292894544,-137.92815161955514,3723.6797056560135,3767.280881164481,-43.60117550846735,10,4,0.4,ok
no_wake,-3,lag_m3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3453.3619611023537,-3556.591591436992,-103.22963033463792,7475.409520887142,8250.554380238853,-775.1448593517107,7050.723922204707,7401.183182873983,-350.45926066927586,10,0,0.0,ok
no_wake,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-1862.4991650226727,-1871.2404756497288,-8.74131062705601,3740.792179357883,3884.625595112297,-143.8334157544141,3728.9983300453455,3778.4809512994575,-49.48262125411202,10,0,0.0,ok
no_wake,-1,lag_m1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3460.2706150982176,-3563.5494723856773,-103.27885728745969,7489.413737939889,8264.843960258262,-775.4302223183731,7064.541230196435,7415.098944771355,-350.5577145749194,10,2,0.2,ok
no_wake,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-1867.350147216014,-1867.06931541647,0.2808317995438756,3750.499343376093,3876.33007132952,-125.8307279534274,3738.700294432028,3770.13863083294,-31.43833640091225,10,2,0.2,ok
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3615.553747559576,-153.83200541818542,7492.369305616232,8368.959137786052,-876.5898321698205,7067.443484282781,7519.107495119152,-451.6640108363709,10,1,0.1,ok
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1870.0504208475213,-1872.9869017265116,-2.936480878990096,3755.9028557990273,3888.1919303888862,-132.28907458985896,3744.1008416950426,3781.973803453023,-37.87296175798019,10,1,0.1,ok
no_wake,1,lag_p1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3451.688099933583,-3586.2028211304983,-134.51472119691516,7472.248707610621,8310.150657747905,-837.9019501372841,7047.376199867166,7460.405642260996,-413.0294423938303,10,0,0.0,ok
no_wake,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-1867.2910193462471,-1870.6913039504948,-3.400284604247645,3750.381087636559,3883.574048397569,-133.19296076101045,3738.5820386924943,3777.3826079009896,-38.80056920849529,10,4,0.4,ok
no_wake,3,lag_p3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3442.39120743242,-3536.69551552023,-94.30430808781011,7453.468013547274,8210.76222840533,-757.294214858056,7028.78241486484,7361.39103104046,-332.6086161756202,10,0,0.0,ok
