regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11655.605762020155,-94.09104164692872,23772.627979696423,24610.40860194025,-837.780622243823,23267.029440746453,23599.21152404031,-332.18208329385743,10,0,0.0,ok,circular_rng_shift,0,424242,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5744.4212293148685,-5750.18688202948,-5.765652714611861,11506.88686248946,11662.773398796451,-155.88653630699446,11492.842458629735,11536.37376405896,-43.53130542922372,10,1,0.1,ok,circular_rng_shift,0,424242,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3447.404315232375,-133.0518136949413,7197.630824408318,8032.660273131651,-835.0294487233323,6772.705003074868,7182.80863046475,-410.1036273898826,10,2,0.2,ok,circular_rng_shift,0,424242,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1870.4987732206207,-1873.8016067072724,-3.302833486651707,3756.799560545226,3889.821340350408,-133.02177980518218,3744.9975464412414,3783.603213414545,-38.60566697330341,10,1,0.1,ok,circular_rng_shift,0,424242,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2653.3950961659166,-57.39055467786648,5732.799481121115,6388.370988621863,-655.5715075007483,5336.0090829761,5594.790192331833,-258.7811093557329,10,2,0.2,ok,circular_rng_shift,0,424242,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1266.257753518974,-1270.756496797554,-4.498743278579923,2547.536368150704,2676.700743609912,-129.1643754592078,2536.5155070379483,2577.512993595108,-40.997486557159846,10,4,0.4,ok,circular_rng_shift,0,424242,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11656.71150799777,-95.1967876245435,23772.627979696423,24612.620093895475,-839.9921141990526,23267.029440746453,23601.42301599554,-334.393575249087,10,0,0.0,ok,circular_rng_shift,1,425251,False
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-5746.917027695377,-5755.087669504537,-8.17064180915986,11511.878459250476,11672.574973746569,-160.69651449609046,11497.834055390756,11546.175339009074,-48.34128361831972,10,1,0.1,ok,circular_rng_shift,1,425251,False
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3421.677817116341,-107.32531557890752,7197.630824408318,7981.207276899584,-783.5764524912656,6772.705003074868,7131.355634232683,-358.65063115781504,10,0,0.0,ok,circular_rng_shift,1,425251,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1874.5301467370496,-1878.179500969255,-3.649354232205269,3764.862307578084,3898.5771288743736,-133.7148212962893,3753.0602934741,3792.35900193851,-39.29870846441054,10,2,0.2,ok,circular_rng_shift,1,425251,True
