model,label,family,regime,lag_epochs,lag_label,valid,n_rows_total,n_rows_model,n_train,n_calib,n_test,n_current_states,n_target_states,n_params,eps_train,eps_calib,eps_candidate,eps_test,eps_saturated,ll_train,ll_calib,ll_calib_eps0,ll_calib_gain_from_eps,ll_test,ll_test_eps0,ll_test_gain_from_eps,bic_test,aic_test,transitions_per_current_state,reason
C0_EEG_next_given_EEG,EEG self-transition baseline,EEG_next,deep_sleep,-5,lag_m5,True,1267,1217,607,241,369,6,8,42,0.0,0.8,0.8,0.8,True,-643.0783648698962,-386.60481523047747,-412.8618847061048,26.257069475627304,-688.845493702497,-712.1927928563705,23.34729915387345,1625.9444464546962,1461.690987404994,101.16666666666667,ok
C1_EEG_next_given_EEG_RNG,EEG transition conditioned by RNG,EEG_next,deep_sleep,-5,lag_m5,True,1267,1217,607,241,369,12,8,84,0.0,0.8,0.8,0.0,True,-628.9584918543339,-375.3146108022446,-410.5458060362654,35.23119523402079,-715.9240445398832,-715.9240445398832,0.0,1928.3550071791706,1599.8480890797664,50.583333333333336,ok
C2_RNG_next_given_RNG,RNG self-transition baseline,RNG_next,deep_sleep,-5,lag_m5,True,1267,1207,600,238,369,2,2,2,0.0,0.8,0.8,0.8,True,-414.42415204575104,-164.6803508739093,-165.89611869993234,1.2157678260230398,-256.28283355987213,-256.3017630037252,0.018929443853096473,524.3872604078254,516.5656671197443,300.0,ok
C3_RNG_next_given_RNG_EEG,RNG transition conditioned by EEG,RNG_next,deep_sleep,-5,lag_m5,True,1267,1207,600,238,369,12,2,12,0.0,0.8,0.8,0.0,True,-408.3579042047329,-159.66264096920352,-167.4762941338889,7.813653164685377,-262.00684410666656,-262.00684410666656,0.0,594.9432479418194,548.0136882133331,50.0,ok
C0_EEG_next_given_EEG,EEG self-transition baseline,EEG_next,deep_sleep,-3,lag_m3,True,1267,1237,617,243,377,6,8,42,0.0,0.8,0.8,0.8,True,-654.2635065874808,-362.19673656030307,-388.6989639013338,26.502227341030732,-736.7582634024004,-748.924333297215,12.166069894814541,1722.6708246776172,1557.5165268048008,102.83333333333333,ok
C1_EEG_next_given_EEG_RNG,EEG transition conditioned by RNG,EEG_next,deep_sleep,-3,lag_m3,True,1267,1237,617,243,377,12,8,84,0.0,0.8,0.8,0.0,True,-644.2859939923777,-347.9219465275106,-386.75205760968356,38.83011108217295,-794.629702785765,-794.629702785765,0.0,2087.5680013171627,1757.25940557153,51.416666666666664,ok
C2_RNG_next_given_RNG,RNG self-transition baseline,RNG_next,deep_sleep,-3,lag_m3,True,1267,1227,610,243,374,2,2,2,0.0,0.8,0.8,0.8,True,-421.2050185459843,-168.27058714961038,-169.4435174110376,1.1729302614272115,-259.54239852443465,-260.24269581486533,0.700297290430683,530.9333086436984,523.0847970488693,305.0,ok
C3_RNG_next_given_RNG_EEG,RNG transition conditioned by EEG,RNG_next,deep_sleep,-3,lag_m3,True,1267,1227,610,243,374,12,2,12,0.0,0.8,0.8,0.0,True,-416.41411199221403,-162.54876469996313,-171.81703448213528,9.268269782172155,-267.3261858465209,-267.3261858465209,0.0,605.7434412620162,558.6523716930418,50.833333333333336,ok
C0_EEG_next_given_EEG,EEG self-transition baseline,EEG_next,deep_sleep,-1,lag_m1,True,1267,1257,627,247,383,6,8,42,0.0,0.8,0.8,0.8,True,-674.5960745062084,-365.2189127581549,-392.04685813370367,26.82794537554878,-742.9348049565132,-752.7847466722739,9.849941715760679,1735.6870794586134,1569.8696099130264,104.5,ok
C1_EEG_next_given_EEG_RNG,EEG transition conditioned by RNG,EEG_next,deep_sleep,-1,lag_m1,True,1267,1257,627,247,383,12,8,84,0.0,0.8,0.8,0.0,True,-658.0693003025306,-361.7981330564632,-408.8065039330307,47.00837087656748,-826.1809149256035,-826.1809149256035,0.0,2151.996768942381,1820.361829851207,52.25,ok
C2_RNG_next_given_RNG,RNG self-transition baseline,RNG_next,deep_sleep,-1,lag_m1,True,1267,1247,620,245,382,2,2,2,0.0,0.8,0.8,0.8,True,-428.40151383697344,-169.72765683231546,-170.25537544267428,0.5277186103588178,-265.057033812436,-265.6884165062488,0.6313826938128386,542.0049088420851,534.114067624872,310.0,ok
C3_RNG_next_given_RNG_EEG,RNG transition conditioned by EEG,RNG_next,deep_sleep,-1,lag_m1,True,1267,1247,620,245,382,12,2,12,0.0,0.8,0.8,0.0,True,-421.4238714812946,-162.734268263925,-173.78085958811548,11.046591324190473,-272.2880114653097,-272.2880114653097,0.0,615.9210702338983,568.5760229306194,51.666666666666664,ok
C0_EEG_next_given_EEG,EEG self-transition baseline,EEG_next,deep_sleep,0,lag_0,True,1267,1267,630,250,387,6,8,42,0.0,0.8,0.8,0.8,True,-682.9319468951587,-339.90814748384685,-365.42125693320526,25.51310944935841,-773.4198708901488,-782.9776965835695,9.557825693420682,1797.0935788875483,1630.8397417802976,105.0,ok
C1_EEG_next_given_EEG_RNG,EEG transition conditioned by RNG,EEG_next,deep_sleep,0,lag_0,True,1267,1267,630,250,387,12,8,84,0.0,0.8,0.8,0.0,True,-670.309309893844,-322.57415825546536,-363.95293358031637,41.378775324851006,-795.5146436186849,-795.5146436186849,0.0,2091.5369614518713,1759.0292872373698,52.5,ok
C2_RNG_next_given_RNG,RNG self-transition baseline,RNG_next,deep_sleep,0,lag_0,True,1267,1257,627,247,383,2,2,2,0.0,0.8,0.8,0.8,True,-433.2848376896753,-170.97779512328455,-171.3784287520957,0.4006336288111356,-266.1008506088136,-266.3086360899212,0.20778548110763495,544.0977711959885,536.2017012176271,313.5,ok
C3_RNG_next_given_RNG_EEG,RNG transition conditioned by EEG,RNG_next,deep_sleep,0,lag_0,True,1267,1257,627,247,383,12,2,12,0.0,0.8,0.8,0.0,True,-427.54622986364376,-161.9964211554472,-178.87270414801975,16.876282992572555,-267.41060162179105,-267.41060162179105,0.0,606.1976231137498,558.8212032435821,52.25,ok
C0_EEG_next_given_EEG,EEG self-transition baseline,EEG_next,deep_sleep,1,lag_p1,True,1267,1257,627,247,383,6,8,42,0.0,0.8,0.8,0.8,True,-679.9218492635201,-336.44088380192306,-362.8163791061661,26.37549530424303,-688.3662584904026,-698.4107111441951,10.044452653792519,1626.5499865263923,1460.7325169808053,104.5,ok
