regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
deep_sleep,-5,lag_m5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-623.4694760770394,-664.8710605708892,-41.40158449384978,1580.6107349637466,1991.7513452743174,-411.14061031057076,1358.9389521540788,1553.7421211417784,-194.80316898769956,8,1,0.125,ok
deep_sleep,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-256.28283355987213,-283.3650652638835,-27.08223170401135,524.3872604078254,649.4812835443344,-125.09402313650901,516.5656671197443,594.730130527767,-78.1644634080227,8,1,0.125,ok
deep_sleep,-3,lag_m3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-623.4694760770394,-700.6631663570785,-77.19369028003905,1580.6107349637466,2065.7377937083343,-485.12705874458766,1358.9389521540788,1625.326332714157,-266.3873805600781,8,2,0.25,ok
deep_sleep,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-259.54239852443465,-290.76275788065004,-31.220359356215397,530.9333086436984,664.4650969251036,-133.53178828140517,523.0847970488693,609.5255157613001,-86.4407187124308,8,0,0.0,ok
deep_sleep,-1,lag_m1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-623.4694760770394,-786.2353400746131,-162.76586399757366,1580.6107349637466,2238.650598937458,-658.0398639737116,1358.9389521540788,1796.4706801492262,-437.5317279951473,8,1,0.125,ok
deep_sleep,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-265.057033812436,-268.8995826041322,-3.842548791696231,542.0049088420851,621.0350537287565,-79.03014488667134,534.114067624872,565.7991652082644,-31.685097583392462,8,0,0.0,ok
deep_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-623.4694760770394,-727.6538736609908,-104.18439758395141,1580.6107349637466,2122.651312941317,-542.0405779775704,1358.9389521540788,1679.3077473219817,-320.3687951679028,8,1,0.125,ok
deep_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-266.1008506088136,-271.3592589450509,-5.2584083362373235,544.0977711959885,625.9910077386309,-81.8932365426424,536.2017012176271,570.7185178901018,-34.51681667247465,8,1,0.125,ok
deep_sleep,1,lag_p1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-623.4694760770394,-679.085935327132,-55.61645925009259,1580.6107349637466,2024.3517894424963,-443.7410544787497,1358.9389521540788,1582.171870654264,-223.23291850018518,8,3,0.375,ok
deep_sleep,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-265.46422968209566,-272.69581820101126,-7.231588518915601,542.8193005814045,628.6275249225146,-85.80822434111008,534.9284593641913,573.3916364020225,-38.4631770378312,8,0,0.0,ok
